Slug,Name,Partner,Short Description,Full Description,Video URL,Category,Tags,Claim Instructions,Form Fields (JSON),Status,Is Active,Sample Deliverable,Champion Name,Champion Title,Champion Brand,Champion Avatar URL,Champion LinkedIn URL,Created At
shopvision-session,Free AI Prompting Session,Shopvision,Ask any question about your competitors and market - get answers in real-time,"Get a hands-on session with Shopvision's AI Super Agent alongside a solutions engineer. Bring your toughest competitive intelligence questions and see what the platform can uncover about your market.

In this session, you can explore:
• What promotions are your competitors running right now?
• How have their prices changed over the past 90 days?
• What's their email and ad strategy look like?
• Where are they investing their marketing budget?

Walk away with actionable competitive insights and a clear picture of how AI can power your market intelligence.",,Analytics & Insights,"Competitive, Intelligence, AI, Market",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""competitors"",""type"":""textarea"",""label"":""Top 3 competitors"",""required"":true,""placeholder"":""List your main competitors""},{""id"":""questions"",""type"":""textarea"",""label"":""What competitive questions would you most like answered?"",""required"":false}]",active,true,,,,,,,2024-03-20
rivo-audit,Loyalty Program & Website Audit,Rivo,See how your loyalty and retention stack compares to top-performing brands,"Rivo will audit your current loyalty setup (or lack thereof) and benchmark it against high-performing Shopify brands in your category.

The audit covers:
• Current retention rate and repeat purchase analysis
• Loyalty program structure evaluation (if you have one)
• Referral program opportunities
• VIP tier and membership potential
• Website integration and visibility assessment
• Recommendations based on what's working for similar brands",,Retention & Loyalty,"Loyalty, Retention, Referral, VIP",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""has_loyalty"",""type"":""select"",""label"":""Do you have a loyalty program?"",""required"":true,""options"":[""Yes - Rivo"",""Yes - Other"",""No""]},{""id"":""monthly_orders"",""type"":""select"",""label"":""Monthly orders"",""required"":true,""options"":[""<1k"",""1k-5k"",""5k-10k"",""10k+""]},{""id"":""retention_challenge"",""type"":""textarea"",""label"":""What's your biggest retention challenge?"",""required"":false}]",active,true,,,,,,,2024-03-25
postscript-audit,SMS Audit Deep Dive,Postscript,Find out if your SMS program is performing at its full potential,"Postscript will analyze your current SMS marketing performance and benchmark it against top-performing brands in your category.

The audit covers:
• List growth rate and subscriber quality analysis
• Campaign performance (CTR, conversion, revenue per message)
• Flow/automation effectiveness
• Compliance and deliverability health check
• Comparison to category benchmarks
• Specific opportunities to increase SMS revenue",,"Email, SMS & Subscribers","SMS, Marketing, Audit, Mobile",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""sms_platform"",""type"":""select"",""label"":""Current SMS platform"",""required"":true,""options"":[""Postscript"",""Attentive"",""Klaviyo SMS"",""Other"",""None""]},{""id"":""list_size"",""type"":""select"",""label"":""SMS list size"",""required"":true,""options"":[""<5k"",""5k-25k"",""25k-100k"",""100k+""]},{""id"":""sms_revenue"",""type"":""select"",""label"":""What percentage of revenue comes from SMS?"",""required"":true,""options"":[""<5%"",""5-10%"",""10-20%"",""20%+"",""Don't know""]}]",active,true,,,,,,,2024-04-01
kodif-audit,CX Ticket Audit,Kodif,Discover how much of your support ticket volume could be automated with AI,"Kodif will analyze a sample of your customer support tickets to identify automation opportunities and efficiency gains.

The audit reveals:
• Ticket categorization breakdown (what are customers asking about?)
• Percentage of tickets suitable for AI automation
• Current handle time vs. potential with automation
• High-volume repetitive queries that can be deflected
• Estimated cost savings and productivity improvements
• Implementation roadmap for AI-powered support",,Operations,"CX, Support, Automation, AI",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""helpdesk"",""type"":""select"",""label"":""Current helpdesk platform"",""required"":true,""options"":[""Gorgias"",""Zendesk"",""Freshdesk"",""Intercom"",""Other""]},{""id"":""ticket_volume"",""type"":""select"",""label"":""Monthly ticket volume"",""required"":true,""options"":[""<500"",""500-2k"",""2k-5k"",""5k-10k"",""10k+""]},{""id"":""response_time"",""type"":""select"",""label"":""Average first response time"",""required"":true,""options"":[""<1 hour"",""1-4 hours"",""4-24 hours"",""24+ hours""]}]",active,true,,,,,,,2024-04-05
shoptin-audit,Net New Subscriber Impact Audit,Shoptin,See how many subscribers you're losing at checkout and what you could capture,"Shoptin will analyze your current checkout consent setup and show you exactly how many potential subscribers you're missing.

The audit includes:
• Current opt-in rate vs. Shoptin benchmark (20%+ improvement typical)
• Projected net new subscribers per month
• LTV impact of additional subscribers (subscribers have 40% higher LTV)
• Compliance gap analysis by region
• Revenue forecast from improved subscriber capture",,"Email, SMS & Subscribers","Subscribers, Checkout, Opt-In, Compliance",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_checkouts"",""type"":""select"",""label"":""Monthly checkouts"",""required"":true,""options"":[""<1k"",""1k-5k"",""5k-10k"",""10k-25k"",""25k+""]},{""id"":""optin_rate"",""type"":""text"",""label"":""Current checkout opt-in rate"",""required"":false,""placeholder"":""e.g., 12%""},{""id"":""markets"",""type"":""select"",""label"":""Primary markets"",""required"":true,""options"":[""US only"",""US + Canada"",""US + EU"",""Global""]}]",active,true,,,,,,,2024-04-10
postpilot-test,Direct Mail Test Campaign,PostPilot,Test direct mail with a free spend credit and see the results for yourself,"Direct mail is the only marketing channel that's actually getting easier - high open rates, no spam filters, and it reaches customers that email can't. PostPilot will set you up with a test campaign to prove the ROI.

What you get:
• Free spend credit toward your first campaign
• Strategic campaign recommendation (winback, VIP, prospecting)
• Creative design support
• Full tracking and attribution reporting
• Dedicated success manager to walk through results",,Advertising & Acquisition,"Direct Mail, Acquisition, Retention, Offline",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_revenue"",""type"":""select"",""label"":""Monthly revenue"",""required"":true,""options"":[""<$100k"",""$100k-$500k"",""$500k-$1M"",""$1M-$5M"",""$5M+""]},{""id"":""dm_experience"",""type"":""select"",""label"":""Have you done direct mail before?"",""required"":true,""options"":[""Yes - recently"",""Yes - in the past"",""No""]},{""id"":""goal"",""type"":""select"",""label"":""Primary goal"",""required"":true,""options"":[""Winback lapsed customers"",""Acquire new customers"",""Retain VIPs"",""Not sure""]}]",active,true,,,,,,,2024-04-15
applovin-credit,$20k Axon Spend Credit,AppLovin (Axon),Test mobile advertising with $20k in free ad spend on the Axon platform,"Axon by AppLovin gives you access to over a billion mobile users with AI-powered targeting that optimizes for your best customers. This exclusive offer lets you test the platform risk-free.

What you get:
• $20,000 in ad spend credit
• Access to 1B+ daily active mobile users
• AI-driven targeting and optimization
• Full ROI tracking and attribution
• Onboarding support to launch your first campaigns",,Advertising & Acquisition,"Mobile, Advertising, Acquisition, Credit",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_ad_spend"",""type"":""select"",""label"":""Monthly ad spend across all channels"",""required"":true,""options"":[""<$25k"",""$25k-$100k"",""$100k-$500k"",""$500k+""]},{""id"":""primary_channels"",""type"":""select"",""label"":""Primary acquisition channels today"",""required"":true,""options"":[""Meta"",""Google"",""TikTok"",""Other""]},{""id"":""mobile_experience"",""type"":""select"",""label"":""Have you run mobile app install campaigns before?"",""required"":true,""options"":[""Yes"",""No""]}]",active,true,,,,,,,2024-04-20
rokt-test,Free ROI Calculator & Test,Rokt,See exactly how much revenue you're leaving on the table at checkout,"Rokt will analyze your checkout flow and build a custom ROI model showing the revenue potential of monetizing your transaction moment.

What you get:
• Custom ROI projection based on your traffic and AOV
• Breakdown of revenue opportunities (upsells, post-purchase, third-party offers)
• Comparison to category benchmarks
• Free pilot program to test with live traffic
• Full attribution and reporting during pilot",,Advertising & Acquisition,"Checkout, Upsell, Monetization, Revenue",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_orders"",""type"":""select"",""label"":""Monthly orders"",""required"":true,""options"":[""<5k"",""5k-25k"",""25k-100k"",""100k+""]},{""id"":""aov"",""type"":""select"",""label"":""Average order value"",""required"":true,""options"":[""<$50"",""$50-$100"",""$100-$200"",""$200+""]},{""id"":""monetize_post"",""type"":""select"",""label"":""Do you currently monetize post-purchase?"",""required"":true,""options"":[""Yes"",""No"",""Considering""]}]",active,true,,,,,,,2024-04-25
pdq-analyzer,Checkout Optimization Analyzer,PDQ,See how much revenue you're losing to a one-size-fits-all checkout,"PDQ will analyze your checkout data to identify optimization opportunities and project the revenue impact of personalized checkout experiences.

The analysis includes:
• Checkout conversion rate by segment
• Shipping option performance analysis
• Geographic and behavioral segment identification
• Revenue opportunity from checkout personalization
• A/B test recommendations
• ROI projection with guaranteed results",,Site & Checkout,"Checkout, Optimization, Conversion, Shipping",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""monthly_checkouts"",""type"":""select"",""label"":""Monthly checkouts"",""required"":true,""options"":[""<5k"",""5k-25k"",""25k-100k"",""100k+""]},{""id"":""aov"",""type"":""select"",""label"":""Average order value"",""required"":true,""options"":[""<$50"",""$50-$100"",""$100-$200"",""$200+""]},{""id"":""shipping_options"",""type"":""select"",""label"":""Do you currently offer multiple shipping options?"",""required"":true,""options"":[""Yes"",""No""]}]",active,true,,,,,,,2024-05-01
dashfi-audit,Ad Spend Audit Report,Dashfi,Find out if Google and Meta are overcharging you (they probably are),"Dashfi's Ad Pay Agent will audit your Google and Meta advertising accounts to identify billing errors, overcharges, and discrepancies you may be owed refunds for.

Recent audits have found an average of 12.5% in monthly billing discrepancies. The audit is free - Dashfi only takes 50% of what they recover for you.

The audit covers:
• Historical billing analysis across Google and Meta
• Identification of duplicate charges and errors
• Invalid click and impression detection
• Refund recovery support
• Ongoing monitoring setup",,Operations,"Advertising, Audit, Billing, Recovery",,"[{""id"":""store_url"",""type"":""url"",""label"":""Store URL"",""required"":true},{""id"":""meta_spend"",""type"":""select"",""label"":""Monthly ad spend on Meta"",""required"":true,""options"":[""<$10k"",""$10k-$50k"",""$50k-$100k"",""$100k+""]},{""id"":""google_spend"",""type"":""select"",""label"":""Monthly ad spend on Google"",""required"":true,""options"":[""<$10k"",""$10k-$50k"",""$50k-$100k"",""$100k+""]},{""id"":""audited_before"",""type"":""select"",""label"":""Have you ever audited your ad billing?"",""required"":true,""options"":[""Yes"",""No""]}]",active,true,,,,,,,2024-05-05
